,N_specific_act_view,N_activity_count,N_total_submission,N_session_id_count,N_class_view_count,N_activity_page_view,N_material_view,N_avgspent_time,N_avgseconds_early,N_act+quiz_view,N_submit_button_clicked,N_expectation_met_count,N_avglevel,maxlevel
77,0.0,1.0,1.0,0.333333333333333,0.457142857142857,0.375,0.0,0.694315545243619,0.533322601416613,0.2,0.0,0.0,0.0,1
78,0.0,1.0,1.0,0.166666666666667,0.314285714285714,0.75,0.5,0.958816705336427,0.413876368319382,0.15,0.0,0.0,1.0,2
79,0.0,1.0,1.0,0.666666666666667,1.0,0.0,0.0,0.94953596287703,0.475853187379266,1.0,0.0,0.0,0.0,1
80,0.0,1.0,1.0,0.333333333333333,0.228571428571429,0.375,0.0,0.818445475638051,0.474565357372827,0.15,0.0,0.0,0.0,1
81,0.0,1.0,1.0,0.333333333333333,0.428571428571429,0.875,0.0,0.73491879350348,0.489053444945267,0.2,0.0,0.0,0.0,1
82,0.0,1.0,1.0,0.833333333333333,0.714285714285714,0.875,0.0,0.733178654292343,0.517707662588538,0.5,0.0,0.0,0.0,1
83,0.0,1.0,1.0,0.333333333333333,0.371428571428571,0.5,0.0,0.264501160092807,0.594816484224082,0.25,0.0,0.0,0.0,1
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993039443155452,0.972955569864778,0.0,0.0,0.0,0.0,1
85,0.0,1.0,1.0,0.5,0.285714285714286,0.25,0.0,0.68445475638051,0.473438506117193,0.15,0.0,0.0,0.0,1
86,0.0,1.0,1.0,0.666666666666667,0.257142857142857,0.375,0.0,0.782482598607889,0.488409529942048,0.1,0.0,0.0,1.0,2
87,0.0,1.0,1.0,0.333333333333333,0.228571428571429,0.125,1.0,0.769721577726218,0.512395363811977,0.2,0.0,0.0,1.0,2
88,0.0,0.0,0.0,0.833333333333333,0.685714285714286,0.625,1.0,1.0,0.949774629748873,0.6,0.0,0.0,0.0,1
89,0.0,0.0,0.0,0.166666666666667,0.2,0.25,0.0,1.0,0.982936252414681,0.2,0.0,0.0,0.0,1
90,0.0,0.0,0.0,1.0,0.885714285714286,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1
91,0.0,1.0,1.0,0.333333333333333,0.314285714285714,0.625,0.0,0.751740139211137,0.494687701223439,0.2,0.0,0.0,0.0,1
92,0.0,0.0,0.0,0.333333333333333,0.228571428571429,0.0,0.0,0.981438515081206,0.993560849967804,0.3,0.0,0.0,0.0,1
93,0.0,0.0,0.0,0.333333333333333,0.2,0.125,0.0,0.85614849187935,1.0,0.15,0.0,0.0,0.0,1
94,0.0,1.0,1.0,0.5,0.285714285714286,0.5,0.5,0.725058004640371,0.484385061171925,0.15,0.0,0.0,1.0,2
95,0.0,1.0,1.0,0.166666666666667,0.2,0.0,0.5,0.758700696055684,0.503219575016098,0.15,0.0,0.0,0.0,1
96,0.0,1.0,1.0,0.333333333333333,0.6,1.0,0.0,0.816705336426914,0.509336767546684,0.45,0.0,0.0,0.0,1
97,0.0,0.0,0.0,0.166666666666667,0.114285714285714,0.0,0.0,0.534802784222738,0.8026400515132,0.2,0.0,0.0,0.0,1
98,0.0,1.0,1.0,0.333333333333333,0.342857142857143,0.375,0.0,0.805104408352668,0.466033483580167,0.35,0.0,0.0,1.0,2
99,1.0,1.0,1.0,1.0,0.545454545454545,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,4
100,0.333333333333333,1.0,1.0,0.333333333333333,0.590909090909091,0.666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
102,0.333333333333333,1.0,1.0,0.666666666666667,1.0,1.0,1.0,0.0,0.0,0.5,0.333333333333333,1.0,0.75,5
103,1.0,1.0,1.0,0.75,0.578947368421053,0.0,0.0,0.0,0.939007942614822,1.0,0.0,0.0,0.0,4
