clo_id,user_id,class_id,activity_id,type,cri_id,submission_id,submitted_at,spent_time,due_date,level,point
26704,83804,54562,755254,ASM,981568,1294613,2021-08-28 12:24:25,,2021-08-28 12:32:59,5,20.0
26704,83805,54562,755254,ASM,981568,1294494,2021-08-28 12:23:19,,2021-08-28 12:32:59,2,4.0
26704,83806,54562,755254,ASM,981568,1294361,2021-08-28 12:21:52,,2021-08-28 12:32:59,5,20.0
26704,83807,54562,755254,ASM,981568,1294603,2021-08-28 12:24:19,,2021-08-28 12:32:59,2,2.0
26704,83808,54562,755254,ASM,981568,1294727,2021-08-28 12:25:49,,2021-08-28 12:32:59,2,5.0
26704,83809,54562,755254,ASM,981568,1294705,2021-08-28 12:25:30,,2021-08-28 12:32:59,3,9.0
26704,83810,54562,755254,ASM,981568,1294510,2021-08-28 12:23:25,,2021-08-28 12:32:59,3,7.0
26704,83811,54562,755254,ASM,981568,1294780,2021-08-28 12:26:45,,2021-08-28 12:32:59,4,13.0
26704,83812,54562,755254,ASM,981568,1294636,2021-08-28 12:24:45,,2021-08-28 12:32:59,2,3.0
26704,83848,56784,755258,ASM,981572,1294395,2021-08-28 12:22:22,,2021-08-28 12:32:59,5,19.0
26704,83849,56784,755258,ASM,981572,1294874,2021-08-28 12:28:26,,2021-08-28 12:32:59,2,2.0
26704,83850,56784,755258,ASM,981572,1294932,2021-08-28 12:29:25,,2021-08-28 12:32:59,1,1.0
26704,83853,56784,755258,ASM,981572,1294257,2021-08-28 12:20:28,,2021-08-28 12:32:59,4,11.0
26704,83854,56784,755258,ASM,981572,1294872,2021-08-28 12:28:25,,2021-08-28 12:32:59,2,3.0
26704,83855,56784,755258,ASM,981572,1294594,2021-08-28 12:24:15,,2021-08-28 12:32:59,3,10.0
26704,83856,56784,755258,ASM,981572,1294880,2021-08-28 12:28:30,,2021-08-28 12:32:59,5,18.0
26704,83857,56784,755258,ASM,981572,1294887,2021-08-28 12:28:39,,2021-08-28 12:32:59,1,1.0
26704,83858,56784,755258,ASM,981572,1294870,2021-08-28 12:28:20,,2021-08-28 12:32:59,1,1.0
26704,83860,56784,755258,ASM,981572,1294555,2021-08-28 12:23:51,,2021-08-28 12:32:59,4,15.0
26704,83861,56784,755258,ASM,981572,1294840,2021-08-28 12:27:50,,2021-08-28 12:32:59,5,17.0
26704,83862,56784,755258,ASM,981572,1294935,2021-08-28 12:29:29,,2021-08-28 12:32:59,5,16.0
26704,83863,56784,755258,ASM,981572,1294399,2021-08-28 12:22:24,,2021-08-28 12:32:59,5,20.0
26704,83864,56784,755258,ASM,981572,1294783,2021-08-28 12:26:47,,2021-08-28 12:32:59,5,19.0
26704,83865,56784,755258,ASM,981572,1294389,2021-08-28 12:22:16,,2021-08-28 12:32:59,3,10.0
26704,83867,56784,755258,ASM,981572,1294995,2021-08-28 12:31:37,,2021-08-28 12:32:59,1,1.0
26704,83869,56784,755258,ASM,981572,1294731,2021-08-28 12:25:54,,2021-08-28 12:32:59,5,18.0
26704,83871,56784,755258,ASM,981572,1294968,2021-08-28 12:30:22,,2021-08-28 12:32:59,1,1.0
26704,83872,56784,755258,ASM,981572,1294508,2021-08-28 12:23:25,,2021-08-28 12:32:59,3,9.0
26704,83873,56784,755258,ASM,981572,1294953,2021-08-28 12:29:46,,2021-08-28 12:32:59,5,18.0
26704,83875,56784,755258,ASM,981572,1294974,2021-08-28 12:30:37,,2021-08-28 12:32:59,4,14.0
26704,83876,56784,755258,ASM,981572,1294546,2021-08-28 12:23:45,,2021-08-28 12:32:59,4,14.0
26704,83877,56784,755258,ASM,981572,1294580,2021-08-28 12:24:03,,2021-08-28 12:32:59,5,16.0
26704,83878,56784,755258,ASM,981572,1294652,2021-08-28 12:24:54,,2021-08-28 12:32:59,5,16.0
26704,83879,56784,755258,ASM,981572,1294768,2021-08-28 12:26:34,,2021-08-28 12:32:59,5,19.0
26704,83881,56784,755258,ASM,981572,1294642,2021-08-28 12:24:48,,2021-08-28 12:32:59,5,18.0
26704,83883,56784,755258,ASM,981572,1294447,2021-08-28 12:22:53,,2021-08-28 12:32:59,5,19.0
26704,83884,56784,755258,ASM,981572,1294790,2021-08-28 12:26:54,,2021-08-28 12:32:59,5,17.0
26704,83885,56784,755258,ASM,981572,1294637,2021-08-28 12:24:46,,2021-08-28 12:32:59,5,16.0
26704,83887,56784,755258,ASM,981572,1294976,2021-08-28 12:30:38,,2021-08-28 12:32:59,3,7.0
26704,83888,56784,755258,ASM,981572,1294929,2021-08-28 12:29:21,,2021-08-28 12:32:59,1,1.0
26704,83893,56784,755258,ASM,981572,1294982,2021-08-28 12:30:56,,2021-08-28 12:32:59,3,8.0
26704,83894,56784,755258,ASM,981572,1294754,2021-08-28 12:26:16,,2021-08-28 12:32:59,5,19.0
26704,83895,56784,755258,ASM,981572,1294878,2021-08-28 12:28:29,,2021-08-28 12:32:59,2,2.0
26704,83897,56784,755258,ASM,981572,1294774,2021-08-28 12:26:41,,2021-08-28 12:32:59,4,15.0
26704,83898,56784,755258,ASM,981572,1294906,2021-08-28 12:28:53,,2021-08-28 12:32:59,2,2.0
26704,83899,56784,755258,ASM,981572,1294473,2021-08-28 12:23:08,,2021-08-28 12:32:59,5,18.0
26704,83901,56784,755258,ASM,981572,1294959,2021-08-28 12:30:01,,2021-08-28 12:32:59,2,4.0
26704,83918,57350,755267,ASM,981581,1294293,2021-08-28 12:21:00,,2021-08-28 12:32:59,1,20.0
26704,83929,54566,755269,ASM,981583,1294901,2021-08-28 12:28:50,,2021-08-28 12:32:59,1,11.0
26704,83930,54566,755269,ASM,981583,1294886,2021-08-28 12:28:38,,2021-08-28 12:32:59,1,2.0
26704,83931,54566,755269,ASM,981583,1295015,2021-08-28 12:35:27,,2021-08-28 12:32:59,1,2.0
26704,83932,54566,755269,ASM,981583,1294949,2021-08-28 12:29:41,,2021-08-28 12:32:59,4,18.0
