user_id,class_id,course_id,clo_id,activity_id,cri_id,slug,type,start_date,cri_id.1,submission_id,submitted_at,spent_time,due_date,level,cri_idB,required_level,pass,expectation_met_count,earlybird,seconds_early,activity_page_view,material_view,act+quiz_view,submit_button_clicked,class_view_count,specific_activity_view,session_id_count
89203,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2596576,2022-10-28 19:49:41,144,2022-11-04 23:59:00,1,3118906,3,False,0,7 days 04:09:19,619759.0,,,,,,,
89204,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2594936,2022-10-28 10:49:31,524,2022-11-04 23:59:00,3,3118906,3,True,1,7 days 13:09:29,652169.0,,,,,,,
89205,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2596424,2022-10-28 18:57:11,300,2022-11-04 23:59:00,3,3118906,3,True,1,7 days 05:01:49,622909.0,,,,,,,
89206,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2596360,2022-10-28 18:30:28,796,2022-11-04 23:59:00,2,3118906,3,False,0,7 days 05:28:32,624512.0,,,,,,,
89207,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2596250,2022-10-28 16:59:30,82,2022-11-04 23:59:00,3,3118906,3,True,1,7 days 06:59:30,629970.0,,,,,,,
89208,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2596358,2022-10-28 18:19:07,181,2022-11-04 23:59:00,2,3118906,3,False,0,7 days 05:39:53,625193.0,,,,,,,
89209,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2596930,2022-10-28 22:22:33,242,2022-11-04 23:59:00,2,3118906,3,False,0,7 days 01:36:27,610587.0,,,,,,,
89210,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2593333,2022-10-27 23:54:15,1802,2022-11-04 23:59:00,2,3118906,3,False,0,8 days 00:04:45,691485.0,,,,,,,
89211,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2595752,2022-10-28 15:17:52,101,2022-11-04 23:59:00,3,3118906,3,True,1,7 days 08:41:08,636068.0,,,,,,,
89212,173179,99247.0,42874,2837879,3118906,1/2022,QUZ,2022-10-17 08:30:00,3118906,2596334,2022-10-28 18:01:05,103,2022-11-04 23:59:00,3,3118906,3,True,1,7 days 05:57:55,626275.0,,,,,,,
