user_id,class_id,last_updated_dt,spent_time,expectation_met_count,seconds_early,activity_page_view,material_view,act+quiz_view,submit_button_clicked,class_view_count,specific_activity_view,session_id_count,level,activity_id,submission_id
1587,173178,0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0
1587,173179,20230223,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
1587,173184,20230223,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
18912,177701,20230404,0.0,1.0,849.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0
18912,177742,20230404,0.0,1.0,31163.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0
18912,274635,20230418,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,4074647.0,3032463.0
19527,173178,20230401,513.0,0.0,605506.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
65172,173177,20230228,1583.0,0.0,24698.0,5.0,0.0,4.0,0.0,11.0,3.0,1.0,1.0,0.0,0.0
65742,249836,20230418,16029.0,0.0,5153.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3393365.0,2935807.0
65742,249836,20230418,77807.0,0.0,13969.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3393362.0,2959382.0
65742,249839,20230418,31256.0,0.0,5061.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3518150.0,2984717.0
65742,249839,20230418,16477.0,0.0,9092.0,5.0,2.0,3.0,0.0,15.0,0.0,3.0,2.0,3518151.0,3009207.0
67071,249832,20230418,2973.0,0.0,933.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3393355.0,2866748.0
67071,249832,20230418,4460.0,0.0,475.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3393356.0,2936571.0
67071,249832,20230418,2370.0,0.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3393353.0,2961916.0
67071,249833,20230418,6053.0,0.0,9823.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,3518148.0,2985065.0
67071,249833,20230418,4484.0,0.0,54.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,3518149.0,3012222.0
67077,249832,20230416,2060.0,0.0,22840.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0
67077,249832,20230416,1028.0,1.0,16162.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0
67077,249832,20230416,4043.0,1.0,21750.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
67077,249833,20230418,1411.0,1.0,24905.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,3518148.0,2984782.0
67077,249833,20230418,1475.0,1.0,67682.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,3.0,3518149.0,3010276.0
